Record#,Match#,Cup#,Race#,Date,Extra150cc,Cup,Track,Racer,Points,RaceWin,CupWin,CupPoints,MatchPoints,Range,MatchCupWins,MatchRaceWins,MatchWinType,ComputerWinFirst,MatchWin
107,4,14,54,8/30/13,150cc,2 Flower Cup,6 Frappe Snowland,Mario,9,Win,Lose,27,109,100-109,2,9,Points Win,NO,Win
108,4,14,54,8/30/13,150cc,2 Flower Cup,6 Frappe Snowland,Peter,6,Lose,Win,30,105,100-109,2,7,Points Lose,NO,Lose
109,4,14,55,8/30/13,150cc,2 Flower Cup,7 Choco Mountain,Mario,6,Lose,Lose,27,109,100-109,2,9,Points Win,NO,Win
110,4,14,55,8/30/13,150cc,2 Flower Cup,7 Choco Mountain,Peter,9,Win,Win,30,105,100-109,2,7,Points Lose,NO,Lose
111,4,14,56,8/30/13,150cc,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Lose,27,109,100-109,2,9,Points Win,NO,Win
112,4,14,56,8/30/13,150cc,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Win,30,105,100-109,2,7,Points Lose,NO,Lose
113,4,15,57,8/30/13,150cc,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,24,109,100-109,2,9,Points Win,NO,Win
114,4,15,57,8/30/13,150cc,3 Star Cup,9 Wario Stadium,Peter,0,Lose,Lose,21,105,100-109,2,7,Points Lose,NO,Lose
115,4,15,58,8/30/13,150cc,3 Star Cup,10 Sherbert Land,Mario,6,Lose,Win,24,109,100-109,2,9,Points Win,NO,Win
116,4,15,58,8/30/13,150cc,3 Star Cup,10 Sherbert Land,Peter,9,Win,Lose,21,105,100-109,2,7,Points Lose,NO,Lose
117,4,15,59,8/30/13,150cc,3 Star Cup,11 Royal Raceway,Mario,9,Win,Win,24,109,100-109,2,9,Points Win,NO,Win
118,4,15,59,8/30/13,150cc,3 Star Cup,11 Royal Raceway,Peter,3,Lose,Lose,21,105,100-109,2,7,Points Lose,NO,Lose
119,4,15,60,8/30/13,150cc,3 Star Cup,12 Bowser's Castle,Mario,0,Lose,Win,24,109,100-109,2,9,Points Win,NO,Win
120,4,15,60,8/30/13,150cc,3 Star Cup,12 Bowser's Castle,Peter,9,Win,Lose,21,105,100-109,2,7,Points Lose,NO,Lose
121,4,16,61,8/30/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Lose,25,109,100-109,2,9,Points Win,NO,Win
122,4,16,61,8/30/13,150cc,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Win,30,105,100-109,2,7,Points Lose,NO,Lose
123,4,16,62,8/30/13,150cc,4 Special Cup,14 Yoshi Valley,Mario,6,Lose,Lose,25,109,100-109,2,9,Points Win,NO,Win
124,4,16,62,8/30/13,150cc,4 Special Cup,14 Yoshi Valley,Peter,9,Win,Win,30,105,100-109,2,7,Points Lose,NO,Lose
125,4,16,63,8/30/13,150cc,4 Special Cup,15 Banshee Boardwalk,Mario,1,Lose,Lose,25,109,100-109,2,9,Points Win,NO,Win
126,4,16,63,8/30/13,150cc,4 Special Cup,15 Banshee Boardwalk,Peter,9,Win,Win,30,105,100-109,2,7,Points Lose,NO,Lose
127,4,16,64,8/30/13,150cc,4 Special Cup,16 Rainbow Road,Mario,9,Win,Lose,25,109,100-109,2,9,Points Win,NO,Win
128,4,16,64,8/30/13,150cc,4 Special Cup,16 Rainbow Road,Peter,6,Lose,Win,30,105,100-109,2,7,Points Lose,NO,Lose
129,5,17,65,8/30/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Mario,6,Lose,Tie,30,132,130-139,3,13,Cup Win,NO,Win
130,5,17,65,8/30/13,Extra,1 Mushroom Cup,1 Luigi Raceway,Peter,9,Win,Tie,30,94,090-099,0,3,Cup Lose,NO,Lose
131,5,17,66,8/30/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Mario,9,Win,Tie,30,132,130-139,3,13,Cup Win,NO,Win
132,5,17,66,8/30/13,Extra,1 Mushroom Cup,2 Moo Moo Farm,Peter,6,Lose,Tie,30,94,090-099,0,3,Cup Lose,NO,Lose
133,5,17,67,8/30/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Mario,9,Win,Tie,30,132,130-139,3,13,Cup Win,NO,Win
134,5,17,67,8/30/13,Extra,1 Mushroom Cup,3 Koopa Troopa Beach,Peter,6,Lose,Tie,30,94,090-099,0,3,Cup Lose,NO,Lose
135,5,17,68,8/30/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Mario,6,Lose,Tie,30,132,130-139,3,13,Cup Win,NO,Win
136,5,17,68,8/30/13,Extra,1 Mushroom Cup,4 Kalimari Desert,Peter,9,Win,Tie,30,94,090-099,0,3,Cup Lose,NO,Lose
137,5,18,69,8/30/13,Extra,2 Flower Cup,5 Toad's Turnpike,Mario,9,Win,Win,30,132,130-139,3,13,Cup Win,NO,Win
138,5,18,69,8/30/13,Extra,2 Flower Cup,5 Toad's Turnpike,Peter,6,Lose,Lose,24,94,090-099,0,3,Cup Lose,NO,Lose
139,5,18,70,8/30/13,Extra,2 Flower Cup,6 Frappe Snowland,Mario,3,Lose,Win,30,132,130-139,3,13,Cup Win,NO,Win
140,5,18,70,8/30/13,Extra,2 Flower Cup,6 Frappe Snowland,Peter,9,Win,Lose,24,94,090-099,0,3,Cup Lose,NO,Lose
141,5,18,71,8/30/13,Extra,2 Flower Cup,7 Choco Mountain,Mario,9,Win,Win,30,132,130-139,3,13,Cup Win,NO,Win
142,5,18,71,8/30/13,Extra,2 Flower Cup,7 Choco Mountain,Peter,3,Lose,Lose,24,94,090-099,0,3,Cup Lose,NO,Lose
143,5,18,72,8/30/13,Extra,2 Flower Cup,8 Mario Raceway,Mario,9,Win,Win,30,132,130-139,3,13,Cup Win,NO,Win
144,5,18,72,8/30/13,Extra,2 Flower Cup,8 Mario Raceway,Peter,6,Lose,Lose,24,94,090-099,0,3,Cup Lose,NO,Lose
145,5,19,73,8/30/13,Extra,3 Star Cup,9 Wario Stadium,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
146,5,19,73,8/30/13,Extra,3 Star Cup,9 Wario Stadium,Peter,6,Lose,Lose,19,94,090-099,0,3,Cup Lose,NO,Lose
147,5,19,74,8/30/13,Extra,3 Star Cup,10 Sherbert Land,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
148,5,19,74,8/30/13,Extra,3 Star Cup,10 Sherbert Land,Peter,6,Lose,Lose,19,94,090-099,0,3,Cup Lose,NO,Lose
149,5,19,75,8/30/13,Extra,3 Star Cup,11 Royal Raceway,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
150,5,19,75,8/30/13,Extra,3 Star Cup,11 Royal Raceway,Peter,1,Lose,Lose,19,94,090-099,0,3,Cup Lose,NO,Lose
151,5,19,76,8/30/13,Extra,3 Star Cup,12 Bowser's Castle,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
152,5,19,76,8/30/13,Extra,3 Star Cup,12 Bowser's Castle,Peter,6,Lose,Lose,19,94,090-099,0,3,Cup Lose,NO,Lose
153,5,20,77,8/30/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
154,5,20,77,8/30/13,Extra,4 Special Cup,13 DK's Jungle Parkway,Peter,6,Lose,Lose,21,94,090-099,0,3,Cup Lose,NO,Lose
155,5,20,78,8/30/13,Extra,4 Special Cup,14 Yoshi Valley,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
156,5,20,78,8/30/13,Extra,4 Special Cup,14 Yoshi Valley,Peter,6,Lose,Lose,21,94,090-099,0,3,Cup Lose,NO,Lose
157,5,20,79,8/30/13,Extra,4 Special Cup,15 Banshee Boardwalk,Mario,9,Win,Win,36,132,130-139,3,13,Cup Win,NO,Win
158,5,20,79,8/30/13,Extra,4 Special Cup,15 Banshee Boardwalk,Peter,3,Lose,Lose,21,94,090-099,0,3,Cup Lose,NO,Lose
